id,name,description,manufacturer,price
12244614697089679523,production prem cs3 mac upgrad,adobe cs3 production premium mac upgrade from production studio premium or standard,adobe software,805.99
5781318040297863663,ipswitch wd-1000-0900 ws_ftp pro 9 sdk w/ ws_ftp pro,no description available,ipswitch,325.51
9949258255997064102,money prem 2007 cd minibox,money premium 2007 win32 english north america us only cd mini box non-rebate,microsoft,63.99
9761533219806554318,adobe indesign cs3 for mac upgrade,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 256mb ram (512mb recommended) 1.6gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,,205.99
18226456193742595288,bamboo technology llc vault360 combo,capitalizing on the popularity of the ipod psp and zen vision vault360 combo allows consumers to transfer dvd's vcd's svcd's recorded tv or video files and now the addition of music and photos stored on their computers or from disc and,,24.58
18172308291108986699,phillip keveren disney's the little mermaid/beauty and the beast,1. fathoms below 2. daughters of triton 3. part of your world 4. under the sea 5. part of your world reprise 6. poor unfortunate souls 7. les poissons 8. kiss the girl 9. belle 10. belle reprise 11. gaston 12. gaston reprise 13. be our guest 14. ...,,23.59
18195210518723634061,encore inc adventure workshop preschool-1st grade 8th edition,introduce your child to an exciting on-screen learning environment brimming with award-winning adventures that will build essential skills while having fun. introduce your child to an exciting on-screen learning environment brimming with award-winni,,17.1
9757350103424139605,micromat podlock ipod utility software,system requirements: a macintosh running mac os x 10.3 or greater. an ipod.,,39.99
10851688356333529622,jungle software gorilla standard 4.0 film production,power pc© g3 or intel processor 256mb ram 512mb recommended 400mb available hard disk space macintosh os x 10.2 and above monitor capable of 1024x768 screen resolution,,269.99
17911312393691300802,roxio inc stopzilla 4.0,cnet editors? choice award winner! stopzilla?s true real-time® protection is unbeatable. it detects and destroys spyware and pop-ups and blocks online threats including phishing attacks. stopzilla?s superior technology delivers daily updates,,26.14
17886724437749928713,masque publishing sportsmans double play with american billiards,features sportsman's double play and american billiards. sportsman's double play includes sport fishing professionaland sport shooting. american billiards includes 8-ball 9-ball snooker and more.,,17.55
8317633865991250636,apple shake 4.1 mac os x,mac system requirements power mac g5; power mac g4 or powerbook g4 with 1ghz or faster powerpc g4 processor; or any intel core-based macintosh computer mac os x v10.4.6 or later quicktime 7.0.4 or later 512mb of ram or more 1gb of available disk ...,,499.99
17771223071817478541,mcafee inc total protection 2007 3-user,mcafee® total protection peace of mind for your entire family today the variety of threats to your pc fi les and online identity is bewildering.viruses spyware hackers spam and emailscams online predators identitythie,,92.51
15577341303347278445,ubisoft brothers in arms: road to hill 30 (pc) thers in ar,super fast shipping - platinum reseller ratings - over 12 years in business,,19.99
17293813878683470763,sos aggregation company airline tycoon deluxe - topware interactive,this economy simulator lets you manage every detail involved with running an airline. create the safest flying experience for your passengers and reap the rewards system requirements: g4/5 @ 1 ghz * 384 mb ram * cd rom * 200 mb hard drive space,,15.95
17322311354110627719,re:launch carrara 5 pro,carrara 5 pro enables artists to build a complete animated project from start to finish -- all with a single piece of software. it multitude of features give you a robust suite of modeling animation and rendering tools. from the multiple modelers ...,,445.3
2233807276870300519,iris readiris pro 11 mac ocr,system requirements os: g3 processor. mac os x 10.3 or higher scanner compatibility: all twain compatible scanners hd space : 110 mb free ram: 32 mb free,,109.99
17357728675180341663,encore inc print shop 22 deluxe,new! version 22. everything you need to create fantastic print projects including powerful new photo editing features to make the most of your photos. system requirements: windows® 2000 sp4/xp (home and pro) sp1³ pentium® iii 500mhz p,,42.69
2838840999646798655,apple garageband jam pack: remix tools,system requirements requires garageband (installed with ilife '04 or '05)* logic express 7 or logic pro 7. soundtrack supports loops only in jam packs. macintosh computer with g3 600mhz processor or higher to use apple loops (g4 or g5 required for ...,,95.99
17083097999546756325,topics entertainment audio success suite edition:sales success,the audio success series is a premium line of personal productivity recordings featuring acclaimed content from renowned motivators and success coaches and designed for people on the move. ever wished you could take time out of your hectic business ...,,12.05
16952776452110398384,palo alto software business plan pro 2007,business plan pro 2007 is the 1 selling business planning software providing everything you need to produce a profession business plan that gets results. system requirements: cd-rom enclosed (no cd-rom with download only ord,,88.83
16917437492135092265,nc interactive inc guild wars nightfall,when a corrupt ruler summons the power of an outcast god and infects the land with a creeping darkness it will take a band of heroes to save elona. guild wars nightfall is the roleplaying game gamers have been waiting for ? an intimate heroic ...,,48.27
1267940675828545901,iview mediapro 2.6 media management,product datasheet (pdf: 1.1mb) system requirements macintosh ? powerpc or newer such as imac g3 g4 ? mac os 9.1.x or mac os x (10.1.x) ? carbonlib 1.5 ? quicktime 6.x ? 8 mb of ram (os 9 allocation) ? monitor set to thousands or millions ? 13 mb ...,,155.99
866471509127749885,makemusic finale 2007 academic create edit and print sheet music,finale 2007 for macintosh® g4 or higher recommended. os 10.3.9 and higher. cd or dvd-rom drive. 800x600 minimum monitor resolution. minimum 256mb ram (1gb or more recommended for optional use of garritan sounds / kontakt player: more ram = more ...,,269
1887899244694755891,caillou magical adventures by brighter minds,macintosh minimum requirements: os 9.x - 300mhz g3 os x (classic mode only) - 400mhz g4 64mb ram 32mb free ram (os 9 only) 50mb free hard drive space 4x cd-rom drive 16-bit color video card 800 x 600 resolution mouse or other pointing device,,19.99
17724977097925207764,allume systems inc mediarecover,mediarecover retrieves your lost photos audio and videos from your cameras pdas and cellular phone's removable memory devices. system requirements: microsoft windows xp or vista or macintosh os x 10.3.9 or higher universal binary. com,,26.14
17708766593513600591,corel corporation dvd movie factory 6 plus retial (english),ulead® dvd moviefactory® 6 plus is easy-to-use disc authoring and burning software for today?s digital lifestyle. put your favorite standard or high definition home movies shows or sports on dvds with professional-style menus. supports h,,74.08
17615743519264436737,onone software essentials for adobe photoshop elements version 2 - full,,,59.33
17456162504360585884,topics entertainment snap! kakuro,snap! kakuro is the big sister to the popular number logic game sudoku. in kakuro follow mathematical clues to fill in an irregularly-shaped grid to complete the puzzle- it's a crossword for numbers instead of words! system requirements:,,3.44
17424435152951418977,individual software inc systemsuite 8 professional (us pos),,,46.42
17471276055285923188,re:launch piano wizard premier software & stickers & midi cable,piano wizard? is an amazingly simple pc video game that teaches virtually anyone to play the piano in minutes. includes software 200 songs/lessons colored stickers and usb/midi cable to connect a midi keyboard. add 1000?s of songs with the p,,113.86
2062975649512805986,3d home architect home v.8by encore software,3d home architect home v.8by encore software,,33.92
9847776401829585115,encore software 11670 - who wants to be a millionaire? - win xp 2000,encore software 11670 : based on abc s hit tv show who wants to be a millionaire america s favorite trivia game is back with new and more complex questions! system requirements: windows 2000 sp4 / xp (home & pro) sp2³ pentium class processor 200 ...,,7.69
